Country,Region,Year,Happiness Rank,Happiness Score,Factors,Value
Switzerland,Europe,2023,1,7.587,Economy (GDP per Capita),1.39651
Switzerland,Europe,2023,1,7.587,Family,1.34951
Switzerland,Europe,2023,1,7.587,Health (Life Expectancy),0.94143
Switzerland,Europe,2023,1,7.587,Freedom,0.66557
Switzerland,Europe,2023,1,7.587,Trust (Government Corruption),0.41978
Switzerland,Europe,2023,1,7.587,Generosity,0.29678
Iceland,Europe,2023,2,7.561,Economy (GDP per Capita),1.30232
Iceland,Europe,2023,2,7.561,Family,1.40223
Iceland,Europe,2023,2,7.561,Health (Life Expectancy),0.94784
Iceland,Europe,2023,2,7.561,Freedom,0.62877
Iceland,Europe,2023,2,7.561,Trust (Government Corruption),0.14145
Iceland,Europe,2023,2,7.561,Generosity,0.4363
Denmark,Europe,2023,3,7.527,Economy (GDP per Capita),1.32548
Denmark,Europe,2023,3,7.527,Family,1.36058
Denmark,Europe,2023,3,7.527,Health (Life Expectancy),0.87464
Denmark,Europe,2023,3,7.527,Freedom,0.64938
Denmark,Europe,2023,3,7.527,Trust (Government Corruption),0.48357
Denmark,Europe,2023,3,7.527,Generosity,0.34139
Norway,Europe,2023,4,7.522,Economy (GDP per Capita),1.459
Norway,Europe,2023,4,7.522,Family,1.33095
Norway,Europe,2023,4,7.522,Health (Life Expectancy),0.88521
Norway,Europe,2023,4,7.522,Freedom,0.66973
Norway,Europe,2023,4,7.522,Trust (Government Corruption),0.36503
Norway,Europe,2023,4,7.522,Generosity,0.34699
Canada,North America,2023,5,7.427,Economy (GDP per Capita),1.32629
Canada,North America,2023,5,7.427,Family,1.32261
Canada,North America,2023,5,7.427,Health (Life Expectancy),0.90563
Canada,North America,2023,5,7.427,Freedom,0.63297
Canada,North America,2023,5,7.427,Trust (Government Corruption),0.32957
Canada,North America,2023,5,7.427,Generosity,0.45811
Finland,Europe,2023,6,7.406,Economy (GDP per Capita),1.29025
Finland,Europe,2023,6,7.406,Family,1.31826
Finland,Europe,2023,6,7.406,Health (Life Expectancy),0.88911
Finland,Europe,2023,6,7.406,Freedom,0.64169
Finland,Europe,2023,6,7.406,Trust (Government Corruption),0.41372
Finland,Europe,2023,6,7.406,Generosity,0.23351
Netherlands,Europe,2023,7,7.378,Economy (GDP per Capita),1.32944
Netherlands,Europe,2023,7,7.378,Family,1.28017
Netherlands,Europe,2023,7,7.378,Health (Life Expectancy),0.89284
Netherlands,Europe,2023,7,7.378,Freedom,0.61576
Netherlands,Europe,2023,7,7.378,Trust (Government Corruption),0.31814
Netherlands,Europe,2023,7,7.378,Generosity,0.4761
Sweden,Europe,2023,8,7.364,Economy (GDP per Capita),1.33171
Sweden,Europe,2023,8,7.364,Family,1.28907
Sweden,Europe,2023,8,7.364,Health (Life Expectancy),0.91087
Sweden,Europe,2023,8,7.364,Freedom,0.6598
Sweden,Europe,2023,8,7.364,Trust (Government Corruption),0.43844
Sweden,Europe,2023,8,7.364,Generosity,0.36262
New Zealand,Oceania,2023,9,7.286,Economy (GDP per Capita),1.25018
New Zealand,Oceania,2023,9,7.286,Family,1.31967
New Zealand,Oceania,2023,9,7.286,Health (Life Expectancy),0.90837
New Zealand,Oceania,2023,9,7.286,Freedom,0.63938
New Zealand,Oceania,2023,9,7.286,Trust (Government Corruption),0.42922
New Zealand,Oceania,2023,9,7.286,Generosity,0.47501
Australia,Oceania,2023,10,7.284,Economy (GDP per Capita),1.33358
Australia,Oceania,2023,10,7.284,Family,1.30923
Australia,Oceania,2023,10,7.284,Health (Life Expectancy),0.93156
Australia,Oceania,2023,10,7.284,Freedom,0.65124
Australia,Oceania,2023,10,7.284,Trust (Government Corruption),0.35637
Australia,Oceania,2023,10,7.284,Generosity,0.43562
Israel,Asia,2023,11,7.278,Economy (GDP per Capita),1.22857
Israel,Asia,2023,11,7.278,Family,1.22393
Israel,Asia,2023,11,7.278,Health (Life Expectancy),0.91387
Israel,Asia,2023,11,7.278,Freedom,0.41319
Israel,Asia,2023,11,7.278,Trust (Government Corruption),0.07785
Israel,Asia,2023,11,7.278,Generosity,0.33172
Costa Rica,North America,2023,12,7.226,Economy (GDP per Capita),0.95578
Costa Rica,North America,2023,12,7.226,Family,1.23788
Costa Rica,North America,2023,12,7.226,Health (Life Expectancy),0.86027
Costa Rica,North America,2023,12,7.226,Freedom,0.63376
Costa Rica,North America,2023,12,7.226,Trust (Government Corruption),0.10583
Costa Rica,North America,2023,12,7.226,Generosity,0.25497
Austria,Europe,2023,13,7.2,Economy (GDP per Capita),1.33723
Austria,Europe,2023,13,7.2,Family,1.29704
Austria,Europe,2023,13,7.2,Health (Life Expectancy),0.89042
Austria,Europe,2023,13,7.2,Freedom,0.62433
Austria,Europe,2023,13,7.2,Trust (Government Corruption),0.18676
Austria,Europe,2023,13,7.2,Generosity,0.33088
Mexico,North America,2023,14,7.187,Economy (GDP per Capita),1.02054
Mexico,North America,2023,14,7.187,Family,0.91451
Mexico,North America,2023,14,7.187,Health (Life Expectancy),0.81444
Mexico,North America,2023,14,7.187,Freedom,0.48181
Mexico,North America,2023,14,7.187,Trust (Government Corruption),0.21312
Mexico,North America,2023,14,7.187,Generosity,0.14074
United States,North America,2023,15,7.119,Economy (GDP per Capita),1.39451
United States,North America,2023,15,7.119,Family,1.24711
United States,North America,2023,15,7.119,Health (Life Expectancy),0.86179
United States,North America,2023,15,7.119,Freedom,0.54604
United States,North America,2023,15,7.119,Trust (Government Corruption),0.1589
United States,North America,2023,15,7.119,Generosity,0.40105
Brazil,South America,2023,16,6.983,Economy (GDP per Capita),0.98124
Brazil,South America,2023,16,6.983,Family,1.23287
Brazil,South America,2023,16,6.983,Health (Life Expectancy),0.69702
Brazil,South America,2023,16,6.983,Freedom,0.49049
Brazil,South America,2023,16,6.983,Trust (Government Corruption),0.17521
Brazil,South America,2023,16,6.983,Generosity,0.14574
Luxembourg,Europe,2023,17,6.946,Economy (GDP per Capita),1.56391
Luxembourg,Europe,2023,17,6.946,Family,1.21963
Luxembourg,Europe,2023,17,6.946,Health (Life Expectancy),0.91894
Luxembourg,Europe,2023,17,6.946,Freedom,0.61583
Luxembourg,Europe,2023,17,6.946,Trust (Government Corruption),0.37798
Luxembourg,Europe,2023,17,6.946,Generosity,0.28034
Ireland,Europe,2023,18,6.94,Economy (GDP per Capita),1.33596
Ireland,Europe,2023,18,6.94,Family,1.36948
Ireland,Europe,2023,18,6.94,Health (Life Expectancy),0.89533
Ireland,Europe,2023,18,6.94,Freedom,0.61777
Ireland,Europe,2023,18,6.94,Trust (Government Corruption),0.28703
Ireland,Europe,2023,18,6.94,Generosity,0.45901
Belgium,Europe,2023,19,6.937,Economy (GDP per Capita),1.30782
Belgium,Europe,2023,19,6.937,Family,1.28566
Belgium,Europe,2023,19,6.937,Health (Life Expectancy),0.89667
Belgium,Europe,2023,19,6.937,Freedom,0.5845
Belgium,Europe,2023,19,6.937,Trust (Government Corruption),0.2254
Belgium,Europe,2023,19,6.937,Generosity,0.2225
United Arab Emirates,Asia,2023,20,6.901,Economy (GDP per Capita),1.42727
United Arab Emirates,Asia,2023,20,6.901,Family,1.12575
United Arab Emirates,Asia,2023,20,6.901,Health (Life Expectancy),0.80925
United Arab Emirates,Asia,2023,20,6.901,Freedom,0.64157
United Arab Emirates,Asia,2023,20,6.901,Trust (Government Corruption),0.38583
United Arab Emirates,Asia,2023,20,6.901,Generosity,0.26428
United Kingdom,Europe,2023,21,6.867,Economy (GDP per Capita),1.26637
United Kingdom,Europe,2023,21,6.867,Family,1.28548
United Kingdom,Europe,2023,21,6.867,Health (Life Expectancy),0.90943
United Kingdom,Europe,2023,21,6.867,Freedom,0.59625
United Kingdom,Europe,2023,21,6.867,Trust (Government Corruption),0.32067
United Kingdom,Europe,2023,21,6.867,Generosity,0.51912
Oman,Asia,2023,22,6.853,Economy (GDP per Capita),1.36011
Oman,Asia,2023,22,6.853,Family,1.08182
Oman,Asia,2023,22,6.853,Health (Life Expectancy),0.76276
Oman,Asia,2023,22,6.853,Freedom,0.63274
Oman,Asia,2023,22,6.853,Trust (Government Corruption),0.32524
Oman,Asia,2023,22,6.853,Generosity,0.21542
Venezuela,South America,2023,23,6.81,Economy (GDP per Capita),1.04424
Venezuela,South America,2023,23,6.81,Family,1.25596
Venezuela,South America,2023,23,6.81,Health (Life Expectancy),0.72052
Venezuela,South America,2023,23,6.81,Freedom,0.42908
Venezuela,South America,2023,23,6.81,Trust (Government Corruption),0.11069
Venezuela,South America,2023,23,6.81,Generosity,0.05841
Singapore,Asia,2023,24,6.798,Economy (GDP per Capita),1.52186
Singapore,Asia,2023,24,6.798,Family,1.02
Singapore,Asia,2023,24,6.798,Health (Life Expectancy),1.02525
Singapore,Asia,2023,24,6.798,Freedom,0.54252
Singapore,Asia,2023,24,6.798,Trust (Government Corruption),0.4921
Singapore,Asia,2023,24,6.798,Generosity,0.31105
Panama,North America,2023,25,6.786,Economy (GDP per Capita),1.06353
Panama,North America,2023,25,6.786,Family,1.1985
Panama,North America,2023,25,6.786,Health (Life Expectancy),0.79661
Panama,North America,2023,25,6.786,Freedom,0.5421
Panama,North America,2023,25,6.786,Trust (Government Corruption),0.0927
Panama,North America,2023,25,6.786,Generosity,0.24434
Germany,Europe,2023,26,6.75,Economy (GDP per Capita),1.32792
Germany,Europe,2023,26,6.75,Family,1.29937
Germany,Europe,2023,26,6.75,Health (Life Expectancy),0.89186
Germany,Europe,2023,26,6.75,Freedom,0.61477
Germany,Europe,2023,26,6.75,Trust (Government Corruption),0.21843
Germany,Europe,2023,26,6.75,Generosity,0.28214
