country,year,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,upperwhisker,lowerwhisker,Dystopia + residual,continent
Finland,2023,7.804,1.888,1.585,0.535,0.772,0.126,0.535,7.875,7.733,2.363,Europe
Denmark,2023,7.586,1.949,1.548,0.537,0.734,0.208,0.525,7.667,7.506,2.084,Europe
Iceland,2023,7.530,1.926,1.620,0.559,0.738,0.250,0.187,7.625,7.434,2.250,Europe
Israel,2023,7.473,1.833,1.521,0.577,0.569,0.124,0.158,7.535,7.411,2.691,Asia
Netherlands,2023,7.403,1.942,1.488,0.545,0.672,0.251,0.394,7.460,7.346,2.110,Europe
Sweden,2023,7.395,1.921,1.510,0.562,0.754,0.225,0.520,7.468,7.322,1.903,Europe
Norway,2023,7.315,1.994,1.521,0.544,0.752,0.212,0.463,7.402,7.229,1.829,Europe
Switzerland,2023,7.240,2.022,1.463,0.582,0.678,0.151,0.475,7.324,7.156,1.870,Europe
Luxembourg,2023,7.228,2.200,1.357,0.549,0.710,0.149,0.418,7.363,7.093,1.845,Europe
New Zealand,2023,7.123,1.842,1.544,0.513,0.672,0.230,0.471,7.198,7.048,1.852,Australia
Austria,2023,7.097,1.927,1.382,0.535,0.630,0.191,0.310,7.176,7.018,2.124,Europe
Australia,2023,7.095,1.899,1.497,0.532,0.677,0.242,0.310,7.180,7.009,1.938,Australia
Canada,2023,6.961,1.881,1.484,0.541,0.656,0.218,0.364,7.042,6.879,1.815,North America
Ireland,2023,6.911,2.152,1.425,0.539,0.656,0.186,0.409,6.996,6.825,1.545,Europe
United States,2023,6.894,1.980,1.460,0.390,0.557,0.210,0.172,6.986,6.802,2.124,North America
Germany,2023,6.892,1.919,1.401,0.539,0.618,0.153,0.365,6.989,6.795,1.898,Europe
Belgium,2023,6.859,1.907,1.449,0.528,0.590,0.137,0.273,6.926,6.793,1.976,Europe
Czechia,2023,6.845,1.823,1.544,0.477,0.693,0.158,0.050,6.931,6.759,2.099,Europe
United Kingdom,2023,6.796,1.857,1.366,0.511,0.626,0.272,0.340,6.877,6.714,1.822,Europe
Lithuania,2023,6.763,1.808,1.511,0.432,0.487,0.059,0.089,6.849,6.677,2.377,Europe
France,2023,6.661,1.856,1.433,0.566,0.582,0.083,0.270,6.735,6.588,1.872,Europe
Slovenia,2023,6.650,1.815,1.539,0.532,0.707,0.144,0.113,6.750,6.550,1.799,Europe
Costa Rica,2023,6.609,1.587,1.340,0.503,0.683,0.099,0.116,6.710,6.507,2.281,North America
Romania,2023,6.589,1.726,1.280,0.423,0.631,0.044,0.000,6.690,6.488,2.485,Europe
Singapore,2023,6.587,2.168,1.354,0.607,0.660,0.170,0.561,6.720,6.454,1.067,Asia
United Arab Emirates,2023,6.571,2.015,1.223,0.401,0.745,0.188,0.247,6.656,6.486,1.752,Asia
Taiwan Province of China,2023,6.535,1.890,1.372,0.492,0.562,0.067,0.178,6.627,6.444,1.974,Asia
Uruguay,2023,6.494,1.617,1.445,0.435,0.683,0.102,0.254,6.583,6.404,1.958,South America
Slovakia,2023,6.469,1.731,1.544,0.472,0.494,0.128,0.022,6.578,6.360,2.078,Europe
Saudi Arabia,2023,6.463,1.861,1.370,0.351,0.682,0.093,0.170,6.581,6.344,1.936,Asia
Estonia,2023,6.455,1.798,1.526,0.494,0.728,0.153,0.372,6.534,6.377,1.383,Europe
Spain,2023,6.436,1.798,1.491,0.567,0.533,0.101,0.157,6.519,6.354,1.789,Europe
Italy,2023,6.405,1.832,1.365,0.559,0.438,0.097,0.063,6.511,6.298,2.052,Europe
Kosovo,2023,6.368,1.374,1.269,0.372,0.639,0.275,0.045,6.485,6.250,2.393,Europe
Chile,2023,6.334,1.645,1.384,0.511,0.546,0.131,0.076,6.424,6.243,2.040,South America
Mexico,2023,6.330,1.550,1.169,0.389,0.632,0.086,0.115,6.441,6.218,2.389,North America
Malta,2023,6.300,1.841,1.468,0.547,0.671,0.200,0.143,6.388,6.212,1.429,Europe
Panama,2023,6.265,1.714,1.402,0.475,0.630,0.065,0.036,6.424,6.105,1.943,North America
Poland,2023,6.260,1.767,1.474,0.477,0.511,0.120,0.139,6.343,6.177,1.772,Europe
Nicaragua,2023,6.259,1.109,1.292,0.385,0.660,0.148,0.218,6.408,6.109,2.448,North America
Latvia,2023,6.213,1.737,1.505,0.405,0.580,0.107,0.071,6.295,6.131,1.808,Europe
Bahrain,2023,6.173,1.883,1.269,0.389,0.748,0.199,0.138,6.369,5.977,1.546,Asia
Guatemala,2023,6.150,1.287,1.188,0.310,0.631,0.106,0.066,6.362,5.939,2.562,North America
Kazakhstan,2023,6.144,1.664,1.491,0.389,0.628,0.136,0.149,6.239,6.049,1.688,Asia
Serbia,2023,6.144,1.552,1.343,0.424,0.617,0.246,0.081,6.299,5.988,1.881,Europe
Cyprus,2023,6.130,1.824,1.224,0.580,0.455,0.104,0.050,6.236,6.024,1.893,Asia
Japan,2023,6.129,1.825,1.396,0.622,0.556,0.009,0.207,6.211,6.047,1.513,Asia
