country,year,happiness_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,continent,Population,imageUrl,wikiUrl,,,,
Finland,2023,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,0,0,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Denmark,2023,7.586,10.962,0.954,71.25,0.934,0.134,0.196,0,0,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Iceland,2023,7.53,10.896,0.983,72.05,0.936,0.211,0.668,0,0,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Netherlands,2023,7.403,10.942,0.93,71.55,0.887,0.213,0.379,0,0,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Norway,2023,7.315,11.088,0.943,71.5,0.947,0.141,0.283,0,0,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Switzerland,2023,7.24,11.164,0.92,72.9,0.891,0.027,0.266,0,0,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Finland,2022,7.729,10.814,0.974,71.225,0.959,0.102,0.19,0.741,0.191,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Denmark,2022,7.545,10.994,0.97,71.375,0.93,0.224,0.203,0.787,0.205,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Iceland,2022,7.449,10.935,0.985,72.075,0.936,0.222,0.692,0.768,0.178,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Norway,2022,7.295,11.111,0.927,71.55,0.939,0.185,0.314,0.759,0.211,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Finland,2021,7.794,10.795,0.97,71.15,0.963,-0.037,0.192,0.752,0.175,Western Europe,5550528,https://cdn-icons-png.flaticon.com/512/323/323359.png,https://en.wikipedia.org/wiki/Finland,,,,
Denmark,2021,7.699,10.968,0.945,71.25,0.933,0.131,0.173,0.792,0.206,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Iceland,2021,7.565,10.889,0.98,72.05,0.923,0.258,0.664,0.806,0.159,Western Europe,343944,https://cdn-icons-png.flaticon.com/512/323/323368.png,https://en.wikipedia.org/wiki/Iceland,,,,
Norway,2021,7.362,11.092,0.948,71.5,0.936,0.168,0.263,0.769,0.207,Western Europe,5477946,https://img.icons8.com/fluency/452/norway-circular.png,https://en.wikipedia.org/wiki/Norway,,,,
Switzerland,2021,7.328,11.171,0.934,72.9,0.908,0.024,0.287,0.747,0.183,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Netherlands,2021,7.314,10.944,0.919,71.55,0.856,0.267,0.397,0.714,0.201,Western Europe,8732440,https://cdn-icons-png.flaticon.com/512/323/323306.png,https://en.wikipedia.org/wiki/Switzerland,,,,
Denmark,2020,7.515,10.91,0.947,73,0.938,0.052,0.214,0.818,0.227,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
Denmark,2018,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.821,0.206,Western Europe,5819012,https://cdn-icons-png.flaticon.com/512/323/323320.png,https://en.wikipedia.org/wiki/Denmark,,,,
